,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
187,Akhil Anil,Tanzania,11,10,208,236,23.6,6.807692308,20.8,18.90909091,0.909090909
188,Akhil Arjunan,Finland,2,2,42,61,30.5,8.714285714,21,21,1
189,Akif Raja,United Arab Emirates,5,5,91,128,25.6,8.43956044,18.2,18.2,1
190,Akramullah Malikzada,Hungary,2,1,12,21,21,10.5,12,6,0.5
191,Al-Amin Hossain,Bangladesh,26,37,542,634,17.13513514,7.018450185,14.64864865,20.84615385,1.423076923
192,Alam Nakash,South Korea,3,3,36,45,15,7.5,12,12,1
193,Alexandros Karvelas,Greece,3,1,72,87,87,7.25,72,24,0.333333333
194,Ali Abdulla Popalzae,Greece,1,3,18,21,7,7,6,18,3
195,Ali Dawood,Bahrain,2,1,48,81,81,10.125,48,24,0.5
196,Ali Hasan,Italy,5,7,96,71,10.14285714,4.4375,13.71428571,19.2,1.4
197,Ali Khan,United States of America,4,3,86,101,33.66666667,7.046511628,28.66666667,21.5,0.75
198,Ali Masood,Estonia,8,8,145,203,25.375,8.4,18.125,18.125,1
199,Ali Naqi,Portugal,3,0,36,45,0,7.5,0,12,0
200,Ali Naseer,United Arab Emirates,2,1,36,65,65,10.83333333,36,18,0.5
201,Ali Nayyer,Switzerland,14,15,306,409,27.26666667,8.019607843,20.4,21.85714286,1.071428571
202,Ali Waqar,Czech Republic,5,2,96,133,66.5,8.3125,48,19.2,0.4
203,Ali Yalmaz,Hungary,6,7,96,144,20.57142857,9,13.71428571,16,1.166666667
204,Alok Kapali,Bangladesh,2,2,30,35,17.5,7,15,15,1
205,Amandeep Singh,Portugal,7,5,108,142,28.4,7.888888889,21.6,15.42857143,0.714285714
206,Amar Sharma,Malta,25,19,519,697,36.68421053,8.057803468,27.31578947,20.76,0.76
207,Ameel Mauroof,Maldives,8,5,96,120,24,7.5,19.2,12,0.625
208,Ameer Saiyed,Botswana,6,3,70,105,35,9,23.33333333,11.66666667,0.5
209,Aminul Islam,Bangladesh,10,12,188,238,19.83333333,7.595744681,15.66666667,18.8,1.2
210,Amir Ali,Oman,5,1,54,67,67,7.444444444,54,10.8,0.2
