,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
266,Ahsan Khan,Bulgaria,3,2,11,9,1,11,122.2222222,3,9
267,Ahsan Malik,Netherlands,7,5,24,25,2,12,96,3.571428571,12.5
268,Ainool Hafizs,Malaysia,8,1,94,93,7,13.42857143,101.0752688,11.625,13.28571429
269,Ainool Haqqiem,Malaysia,2,1,20,20,1,20,100,10,20
270,Aizaz Cheema,Pakistan,1,1,0,3,0,0,0,3,inf
271,Aizaz Khan,Hong Kong,43,7,522,493,36,14.5,105.8823529,11.46511628,13.69444444
272,Akash Babu,Qatar,3,0,2,6,3,0.666666667,33.33333333,2,2
273,Akhil Anil,Tanzania,11,3,140,92,8,17.5,152.173913,8.363636364,11.5
274,Akhil Arjunan,Finland,2,1,13,18,1,13,72.22222222,9,18
275,Al-Amin Hossain,Bangladesh,4,2,7,12,2,3.5,58.33333333,3,6
276,Alam Nakash,South Korea,3,0,25,26,3,8.333333333,96.15384615,8.666666667,8.666666667
277,Alexandros Karvelas,Greece,3,0,70,70,3,23.33333333,100,23.33333333,23.33333333
278,Ali Abdulla Popalzae,Greece,1,0,0,3,1,0,0,3,3
279,Ali Dawood,Bahrain,2,1,7,8,1,7,87.5,4,8
280,Ali Farasat,Hungary,8,0,103,79,8,12.875,130.3797468,9.875,9.875
281,Ali Hasan,Italy,1,1,10,7,0,10,142.8571429,7,inf
282,Ali Ivan,Maldives,1,0,11,39,1,11,28.20512821,39,39
283,Ali Khan,United States of America,1,0,0,1,1,0,0,1,1
284,Ali Masood,Estonia,8,1,195,183,7,27.85714286,106.557377,22.875,26.14285714
285,Ali Mohammadipour,Iran,1,0,19,13,1,19,146.1538462,13,13
286,Ali Naseer,United Arab Emirates,1,0,16,14,1,16,114.2857143,14,14
287,Ali Nayyer,Switzerland,11,6,166,121,5,33.2,137.1900826,11,24.2
288,Ali Raza,Estonia,3,2,23,19,1,23,121.0526316,6.333333333,19
289,Ali Saleem,Norway,8,1,126,119,7,18,105.8823529,14.875,17
