,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
1032,I Danladi,Nigeria,2,0,37,38,2,18.5,97.36842105,19,19
1033,I Elec,Turkey,7,0,67,102,7,9.571428571,65.68627451,14.57142857,14.57142857
1034,I Kaia,Zimbabwe,10,0,167,175,10,16.7,95.42857143,17.5,17.5
1035,I Kamara,Sierra Leone,2,0,1,7,2,0.5,14.28571429,3.5,3.5
1036,I Katzarski,Bulgaria,4,1,10,24,3,3.333333333,41.66666667,6,8
1037,I Liyanage,Qatar,10,2,223,186,8,27.875,119.8924731,18.6,23.25
1038,I Mansaray,Sierra Leone,3,1,8,24,2,4,33.33333333,8,12
1039,I Master,Botswana,6,1,49,51,5,9.8,96.07843137,8.5,10.2
1040,I Ntirenganya,Rwanda,8,5,12,22,3,4,54.54545455,2.75,7.333333333
1041,I Pandey,Nepal,4,0,33,50,4,8.25,66,12.5,12.5
1042,I Sharma,India,3,2,8,9,1,8,88.88888889,3,9
1043,I Takahashi,Japan,10,0,119,111,10,11.9,107.2072072,11.1,11.1
1044,I Tchakou,Cameroon,10,0,58,98,10,5.8,59.18367347,9.8,9.8
1045,I Udana,Sri Lanka,23,9,244,178,14,17.42857143,137.0786517,7.739130435,12.71428571
1046,I Wardlaw,Scotland,1,0,1,3,1,1,33.33333333,3,3
1047,IA De Silva,Bulgaria,23,1,520,479,22,23.63636364,108.559499,20.82608696,21.77272727
1048,IA Karim,Kenya,33,10,781,743,23,33.95652174,105.1144011,22.51515152,32.30434783
1049,ID Matic,Croatia,2,0,0,8,2,0,0,4,4
1050,IDA Damarell,Guernsey,11,2,255,240,9,28.33333333,106.25,21.81818182,26.66666667
1051,IDM Latin,Gibraltar,13,1,241,195,12,20.08333333,123.5897436,15,16.25
1052,IG Butler,New Zealand,5,4,5,10,1,5,50,2,10
1053,IG Holland,United States of America,2,1,43,39,1,43,110.2564103,19.5,39
1054,IGTR Kumara,Maldives,1,0,3,12,1,3,25,12,12
1055,IH Romaine,Bermuda,1,0,8,12,1,8,66.66666667,12,12
1056,II Selemani,Tanzania,32,2,917,537,30,30.56666667,170.7635009,16.78125,17.9
1057,IJL Trott,England,6,0,138,140,6,23,98.57142857,23.33333333,23.33333333
1058,IK Darmawan,Indonesia,2,0,25,32,2,12.5,78.125,16,16
1059,IK Gamantika,Indonesia,6,1,76,90,5,15.2,84.44444444,15,18
1060,IK Pathan,India,12,6,152,129,6,25.33333333,117.8294574,10.75,21.5
1061,IKEG Artawan,Indonesia,3,1,2,7,2,1,28.57142857,2.333333333,3.5
1062,IKO Aboagye,Ghana,4,0,16,37,4,4,43.24324324,9.25,9.25
1063,IM Farrell,Gibraltar,1,0,0,2,1,0,0,2,2
1064,IO Okpe,Nigeria,19,1,278,253,18,15.44444444,109.8814229,13.31578947,14.05555556
1065,IP Swaney,Singapore,2,0,10,13,2,5,76.92307692,6.5,6.5
1066,IR Bell,England,8,1,188,162,7,26.85714286,116.0493827,20.25,23.14285714
1067,IS Billcliff,Canada,2,0,51,39,2,25.5,130.7692308,19.5,19.5
1068,IS Sodhi,New Zealand,22,7,129,120,15,8.6,107.5,5.454545455,8
1069,IW Budiarta,Indonesia,2,1,4,4,1,4,100,2,4
1070,Ibrahim Hassan,Maldives,12,1,79,97,11,7.181818182,81.44329897,8.083333333,8.818181818
1071,Ibrahim Jabarkhel,France,5,3,24,28,2,12,85.71428571,5.6,14
1072,Ibrahim Nashath,Maldives,6,1,33,85,5,6.6,38.82352941,14.16666667,17
1073,Ibrahim Rahimi,Norway,1,0,0,4,1,0,0,4,4
1074,Ibrahim Rizan,Maldives,11,4,30,55,7,4.285714286,54.54545455,5,7.857142857
1075,Ibrahim Zadran,Afghanistan,24,4,530,516,20,26.5,102.7131783,21.5,25.8
1076,Idrees Ul Haque,Switzerland,3,0,79,48,3,26.33333333,164.5833333,16,16
1077,Iftekar Jaman,Cyprus,3,1,43,28,2,21.5,153.5714286,9.333333333,14
1078,Iftikhar Ahmed,Pakistan,38,9,813,613,29,28.03448276,132.6264274,16.13157895,21.13793103
1079,Ihsanullah,Afghanistan/Pakistan,2,1,26,22,1,26,118.1818182,11,22
1080,Ijaz Hussain,Romania,17,3,121,137,14,8.642857143,88.32116788,8.058823529,9.785714286
1081,Ikramullah Khan,Qatar,2,0,14,18,2,7,77.77777778,9,9
1082,Ilyas Ahmed,Kuwait,2,1,2,3,1,2,66.66666667,1.5,3
1083,Ilyas Ataullah,Turkey,7,2,91,67,5,18.2,135.8208955,9.571428571,13.4
1084,Imad Wasim,Pakistan,42,11,486,365,31,15.67741935,133.1506849,8.69047619,11.77419355
1085,Imal Zuwak,Sweden,7,2,86,105,5,17.2,81.9047619,15,21
1086,Imam-ul-Haq,Pakistan,2,0,21,25,2,10.5,84,12.5,12.5
1087,Imran Ali Butt,Bahrain,4,0,63,71,4,15.75,88.73239437,17.75,17.75
1088,Imran Ameer,Malta,13,5,210,191,8,26.25,109.947644,14.69230769,23.875
1089,Imran Anwar,Bahrain,20,3,364,261,17,21.41176471,139.4636015,13.05,15.35294118
1090,Imran Arif,Saudi Arabia,2,0,27,38,2,13.5,71.05263158,19,19
1091,Imran Butt,Bahrain,1,0,12,6,1,12,200,6,6
1092,Imran Farhat,Pakistan,7,0,76,70,7,10.85714286,108.5714286,10,10
1093,Imran Haider,United Arab Emirates,2,2,4,8,0,4,50,4,inf
1094,Imran Khan,Portugal/Bahrain,7,1,57,54,6,9.5,105.5555556,7.714285714,9
1095,Imran Khan (1),Pakistan,1,0,0,1,1,0,0,1,1
1096,Imran Nazir,Pakistan,21,1,488,351,20,24.4,139.031339,16.71428571,17.55
1097,Imran Tahir,South Africa,2,1,10,13,1,10,76.92307692,6.5,13
1098,Imran Yousaf,Saudi Arabia,2,1,3,6,1,3,50,3,6
1099,Imrul Kayes,Bangladesh,13,0,119,133,13,9.153846154,89.47368421,10.23076923,10.23076923
1100,Inam-ul-Haq,Qatar,3,0,80,72,3,26.66666667,111.1111111,24,24
1101,Inzamam-ul-Haq,Pakistan,1,1,11,15,0,11,73.33333333,15,inf
1102,Iqbal Hossain,Austria,14,0,381,227,14,27.21428571,167.8414097,16.21428571,16.21428571
1103,Iqbal Hussain,Qatar,7,3,63,54,4,15.75,116.6666667,7.714285714,13.5
1104,Irfan Ahmed,Hong Kong,8,0,76,83,8,9.5,91.56626506,10.375,10.375
1105,Irfan Hafejee,Panama,7,0,116,158,7,16.57142857,73.41772152,22.57142857,22.57142857
1106,Irfan Sarfraz,Saudi Arabia,3,0,38,55,3,12.66666667,69.09090909,18.33333333,18.33333333
1107,Irshad Mubbashar,Saudi Arabia,4,0,64,75,4,16,85.33333333,18.75,18.75
1108,Isa Zaroo,Bulgaria,1,0,7,7,1,7,100,7,7
1109,Ishan Kishan,India,27,1,661,542,26,25.42307692,121.9557196,20.07407407,20.84615385
1110,Ishtiaq Ahmad,Saudi Arabia,2,1,1,3,1,1,33.33333333,1.5,3
1111,Ismaeel Zia,Sweden,6,0,54,68,6,9,79.41176471,11.33333333,11.33333333
1112,Ismail Sardar,Thailand,2,0,5,16,2,2.5,31.25,8,8
1113,Ismaila Tanba,Gambia,6,1,92,75,5,18.4,122.6666667,12.5,15
1114,Itibarshah Deedar,Austria,1,1,4,7,0,4,57.14285714,7,inf
1115,Ivan Splicevic,Croatia,2,1,0,11,1,0,0,5.5,11
1116,Izatullah Dawlatzai,Afghanistan/Germany,2,2,24,13,0,24,184.6153846,6.5,inf
1117,Izhar Hussain,Switzerland,1,0,1,5,1,1,20,5,5
1118,J Albin,Bulgaria,11,6,92,115,5,18.4,80,10.45454545,23
1119,J Alegra,Philippines,7,1,115,131,6,19.16666667,87.78625954,18.71428571,21.83333333
1120,J Anderson,Ireland,1,0,3,5,1,3,60,5,5
1121,J Baguma,Uganda,6,3,38,48,3,12.66666667,79.16666667,8,16
1122,J Baleicikoibia,Fiji,5,0,61,72,5,12.2,84.72222222,14.4,14.4
1123,J Bangura,Sierra Leone,12,1,130,172,11,11.81818182,75.58139535,14.33333333,15.63636364
1124,J Barker,Luxembourg,20,9,325,335,11,29.54545455,97.01492537,16.75,30.45454545
1125,J Batinibulu,Fiji,3,1,8,18,2,4,44.44444444,6,9
1126,J Botha,South Africa,20,9,201,165,11,18.27272727,121.8181818,8.25,15
1127,J Broad,Germany,9,2,288,239,7,41.14285714,120.5020921,26.55555556,34.14285714
1128,J Buchanan,Cayman Islands,1,0,10,12,1,10,83.33333333,12,12
1129,J Bulele,Mozambique,13,2,359,371,11,32.63636364,96.76549865,28.53846154,33.72727273
1130,J Butler,Guernsey/Isle of Man,21,3,447,419,18,24.83333333,106.6825776,19.95238095,23.27777778
1131,J Charles,West Indies,41,0,937,729,41,22.85365854,128.5322359,17.7804878,17.7804878
1132,J Chaturanga,Bahrain,2,0,4,7,2,2,57.14285714,3.5,3.5
1133,J Clough,Isle of Man,1,0,9,13,1,9,69.23076923,13,13
1134,J Coetzee,Thailand,2,0,49,40,2,24.5,122.5,20,20
1135,J Dunn,Vanuatu,3,0,36,41,3,12,87.80487805,13.66666667,13.66666667
1136,J Edness,Bermuda,1,0,0,1,1,0,0,1,1
1137,J Evans,Israel,3,0,9,13,3,3,69.23076923,4.333333333,4.333333333
1138,J Ghadiyali,Swaziland,6,1,86,96,5,17.2,89.58333333,16,19.2
1139,J Grassi,Italy,4,0,58,63,4,14.5,92.06349206,15.75,15.75
1140,J Grzinic,Croatia,4,2,15,40,2,7.5,37.5,10,20
1141,J Hansrod,Swaziland,3,0,10,25,3,3.333333333,40,8.333333333,8.333333333
1142,J Henry,St Helena,3,0,20,16,3,6.666666667,125,5.333333333,5.333333333
1143,J Hill,Philippines,7,0,34,64,7,4.857142857,53.125,9.142857143,9.142857143
1144,J Horrocks,Gibraltar,4,1,10,19,3,3.333333333,52.63157895,4.75,6.333333333
1145,J Hurley,Argentina,1,0,0,1,1,0,0,1,1
1146,J Jagroo,Bahamas,4,-1,31,34,5,6.2,91.17647059,8.5,6.8
1147,J Jemison,Bahamas,3,0,8,19,3,2.666666667,42.10526316,6.333333333,6.333333333
1148,J Jojo,Denmark,7,3,38,31,4,9.5,122.5806452,4.428571429,7.75
1149,J Kariko,Papua New Guinea,1,1,1,1,0,1,100,1,inf
1150,J Kila,Papua New Guinea,8,3,66,46,5,13.2,143.4782609,5.75,9.2
1151,J Lewis,England,1,0,1,4,1,1,25,4,4
1152,J Little,Ireland,22,11,93,117,11,8.454545455,79.48717949,5.318181818,10.63636364
1153,J Liyanage,Sri Lanka,3,0,28,45,3,9.333333333,62.22222222,15,15
1154,J Long,Philippines,1,1,2,6,0,2,33.33333333,6,inf
1155,J Louw,South Africa,1,1,1,1,0,1,100,1,inf
1156,J Marples,Gibraltar,8,3,49,61,5,9.8,80.32786885,7.625,12.2
1157,J Mees,Luxembourg,23,2,535,440,21,25.47619048,121.5909091,19.13043478,20.95238095
1158,J Miyaji,Uganda,10,2,103,103,8,12.875,100,10.3,12.875
1159,J Mosca,Italy,8,0,127,102,8,15.875,124.5098039,12.75,12.75
1160,J Mubarak,Sri Lanka,14,4,221,169,10,22.1,130.7692308,12.07142857,16.9
1161,J Mulder,Ireland,3,1,6,11,2,3,54.54545455,3.666666667,5.5
1162,J Nyumbu,Zimbabwe,2,2,7,11,0,7,63.63636364,5.5,inf
1163,J Pakhiaokajee,Thailand,5,2,30,39,3,10,76.92307692,7.8,13
1164,J Perman,Spain,4,1,43,37,3,14.33333333,116.2162162,9.25,12.33333333
1165,J Rasu,Vanuatu,18,2,317,280,16,19.8125,113.2142857,15.55555556,17.5
1166,J Reb,Serbia,3,0,38,42,3,12.66666667,90.47619048,14,14
1167,J Sebanja,Uganda,2,0,3,4,2,1.5,75,2,2
1168,J Shaju,Malta,3,1,2,10,2,1,20,3.333333333,5
1169,J Singye,Bhutan,7,0,124,155,7,17.71428571,80,22.14285714,22.14285714
1170,J Smits,Netherlands,1,1,11,17,0,11,64.70588235,17,inf
1171,J Sumerauer,Jersey,15,5,111,93,10,11.1,119.3548387,6.2,9.3
1172,J Theron,United States of America/South Africa,5,5,40,25,0,40,160,5,inf
1173,J Trembeath-Moro,Spain,6,1,128,147,5,25.6,87.07482993,24.5,29.4
1174,J Vira,Vanuatu,10,3,64,67,7,9.142857143,95.52238806,6.7,9.571428571
1175,J West,Gibraltar,4,0,32,53,4,8,60.37735849,13.25,13.25
1176,J van Heerden,Germany,9,3,271,223,6,45.16666667,121.5246637,24.77777778,37.16666667
1177,JA Burrows,Isle of Man,9,0,39,47,9,4.333333333,82.9787234,5.222222222,5.222222222
1178,JA Duffy,New Zealand,2,1,9,8,1,9,112.5,4,8
1179,JA Fitzgerald,Gibraltar,18,9,186,149,9,20.66666667,124.8322148,8.277777778,16.55555556
1180,JA Morkel,South Africa,33,10,541,380,23,23.52173913,142.3684211,11.51515152,16.52173913
1181,JA Richardson,Australia,8,5,45,51,3,15,88.23529412,6.375,17
1182,JA Rudolph,South Africa,1,1,6,7,0,6,85.71428571,7,inf
1183,JAD Lawrenson,Jersey,4,1,38,47,3,12.66666667,80.85106383,11.75,15.66666667
1184,JAH Marshall,New Zealand,2,0,14,15,2,7,93.33333333,7.5,7.5
1185,JAR Blain,Scotland,2,1,3,3,1,3,100,1.5,3
1186,JB Abega,Cameroon,9,-1,23,61,10,2.3,37.70491803,6.777777778,6.1
1187,JB Reva,Papua New Guinea,4,0,16,22,4,4,72.72727273,5.5,5.5
1188,JC Archer,England,3,1,19,11,2,9.5,172.7272727,3.666666667,5.5
1189,JC Buttler,England,92,18,2582,1781,74,34.89189189,144.9747333,19.35869565,24.06756757
1190,JC Darji,Tanzania,6,0,30,43,6,5,69.76744186,7.166666667,7.166666667
1191,JC Martin,Guernsey,3,2,35,35,1,35,100,11.66666667,35
1192,JC Tredwell,England,5,2,32,20,3,10.66666667,160,4,6.666666667
1193,JD Allan,Vanuatu,9,0,108,118,9,12,91.52542373,13.11111111,13.11111111
1194,JD Baker,Samoa,5,2,50,48,3,16.66666667,104.1666667,9.6,16
1195,JD Campbell,West Indies,2,0,11,16,2,5.5,68.75,8,8
1196,JD Freyone,Gibraltar,10,1,57,94,9,6.333333333,60.63829787,9.4,10.44444444
1197,JD Nel,Scotland,2,1,13,10,1,13,130,5,10
1198,JD Newton,Croatia,4,0,32,51,4,8,62.74509804,12.75,12.75
1199,JD Ryder,New Zealand,20,1,445,339,19,23.42105263,131.2684366,16.95,17.84210526
1200,JD Wildermuth,Australia,1,1,1,1,0,1,100,1,inf
1201,JDF Vandersay,Sri Lanka,5,4,20,20,1,20,100,4,20
1202,JDP Oram,New Zealand,25,6,439,299,19,23.10526316,146.8227425,11.96,15.73684211
1203,JDS Neesham,New Zealand,52,17,804,503,35,22.97142857,159.8409543,9.673076923,14.37142857
1204,JE Dunford,Jersey,10,4,83,92,6,13.83333333,90.2173913,9.2,15.33333333
1205,JE Pitcher,Bermuda,3,3,10,19,0,10,52.63157895,6.333333333,inf
1206,JE Root,England,29,5,861,682,24,35.875,126.2463343,23.51724138,28.41666667
1207,JE Scott,Bahamas,2,0,4,7,2,2,57.14285714,3.5,3.5
1208,JE Taylor,West Indies,13,4,107,81,9,11.88888889,132.0987654,6.230769231,9
1209,JEA Doctora,Philippines,5,1,57,77,4,14.25,74.02597403,15.4,19.25
1210,JEC Franklin,New Zealand,25,6,417,342,19,21.94736842,121.9298246,13.68,18
1211,JF Chester,Swaziland,3,2,0,6,1,0,0,2,6
1212,JF Mooney,Ireland,19,7,202,185,12,16.83333333,109.1891892,9.736842105,15.41666667
1213,JH Davey,Scotland,15,8,108,82,7,15.42857143,131.7073171,5.466666667,11.71428571
1214,JH Kallis,South Africa,22,3,653,550,19,34.36842105,118.7272727,25,28.94736842
1215,JH Kiani,Philippines,2,0,25,36,2,12.5,69.44444444,18,18
1216,JH Mensah,Ghana,2,0,17,10,2,8.5,170,5,5
1217,JH Stander,Scotland,4,0,25,24,4,6.25,104.1666667,6,6
1218,JJ Atkinson,Hong Kong,16,2,309,277,14,22.07142857,111.5523466,17.3125,19.78571429
1219,JJ Bumrah,India,3,1,8,13,2,4,61.53846154,4.333333333,6.5
1220,JJ Celestine,Bermuda,1,0,0,1,1,0,0,1,1
1221,JJ Huo,Mozambique,12,5,146,145,7,20.85714286,100.6896552,12.08333333,20.71428571
1222,JJ Nyambo,Tanzania,2,1,6,13,1,6,46.15384615,6.5,13
1223,JJ Roy,England,62,0,1473,1073,62,23.75806452,137.278658,17.30645161,17.30645161
1224,JJ Smit,Namibia,27,10,564,380,17,33.17647059,148.4210526,14.07407407,22.35294118
1225,JJ Tucker,Bermuda,5,1,94,97,4,23.5,96.90721649,19.4,24.25
1226,JJ Wright,Swaziland,4,0,32,33,4,8,96.96969697,8.25,8.25
1227,JJ van der Wath,South Africa,4,1,46,38,3,15.33333333,121.0526316,9.5,12.66666667
1228,JK Kamande,Kenya,5,0,24,38,5,4.8,63.15789474,7.6,7.6
1229,JK Mukhiya,Nepal,2,1,6,12,1,6,50,6,12
1230,JK Vifah,Ghana,21,3,351,304,18,19.5,115.4605263,14.47619048,16.88888889
1231,JL Denly,England,11,2,125,117,9,13.88888889,106.8376068,10.63636364,13
1232,JL Martel,Guernsey,1,1,13,6,0,13,216.6666667,6,inf
1233,JL Ontong,South Africa,9,0,157,106,9,17.44444444,148.1132075,11.77777778,11.77777778
1234,JL Pattinson,Australia,1,1,5,3,0,5,166.6666667,3,inf
1235,JM Anderson,England,2,1,1,2,1,1,50,1,2
1236,JM Bairstow,England,57,11,1262,933,46,27.43478261,135.2625938,16.36842105,20.2826087
1237,JM Davison,Canada,2,0,0,4,2,0,0,2,2
1238,JM How,New Zealand,5,0,56,66,5,11.2,84.84848485,13.2,13.2
1239,JM Joao,Mozambique,1,0,1,10,1,1,10,10,10
1240,JM Kemp,South Africa,7,3,203,160,4,50.75,126.875,22.85714286,40
1241,JM Vince,England,15,0,416,314,15,27.73333333,132.4840764,20.93333333,20.93333333
1242,JM Vujinovich,Croatia,5,1,51,98,4,12.75,52.04081633,19.6,24.5
1243,JN Frylinck,Namibia,21,9,241,231,12,20.08333333,104.3290043,11,19.25
1244,JN Gillespie,Australia,1,0,24,17,1,24,141.1764706,17,17
1245,JN Loftie-Eaton,Namibia,17,2,165,167,15,11,98.80239521,9.823529412,11.13333333
1246,JN Malan,South Africa,11,0,241,186,11,21.90909091,129.5698925,16.90909091,16.90909091
1247,JN Mohammed,West Indies,8,3,90,103,5,18,87.37864078,12.875,20.6
1248,JN Snape,England,1,0,7,11,1,7,63.63636364,11,11
1249,JNK Shannon,Ireland,7,0,105,78,7,15,134.6153846,11.14285714,11.14285714
1250,JNT Vare,Papua New Guinea,6,0,65,67,6,10.83333333,97.01492537,11.16666667,11.16666667
1251,JO Adedeji,Nigeria,24,4,487,547,20,24.35,89.03107861,22.79166667,27.35
1252,JO Holder,West Indies,36,8,405,333,28,14.46428571,121.6216216,9.25,11.89285714
1253,JO Ngoche,Kenya,2,1,3,16,1,3,18.75,8,16
1254,JOA Gordon,Canada,2,2,3,6,0,3,50,3,inf
1255,JOP Scamans,Finland,11,2,114,111,9,12.66666667,102.7027027,10.09090909,12.33333333
1256,JP Behrendorff,Australia,1,0,5,7,1,5,71.42857143,7,7
1257,JP Bray,Ireland,2,0,2,17,2,1,11.76470588,8.5,8.5
1258,JP Duminy,South Africa,69,23,1790,1441,46,38.91304348,124.2192922,20.88405797,31.32608696
1259,JP Faulkner,Australia,17,7,146,120,10,14.6,121.6666667,7.058823529,12
1260,JP Inglis,Australia,8,1,172,124,7,24.57142857,138.7096774,15.5,17.71428571
1261,JP Kaltapau,Vanuatu,9,0,180,199,9,20,90.45226131,22.11111111,22.11111111
1262,JP Kotze,Namibia,18,1,378,302,17,22.23529412,125.1655629,16.77777778,17.76470588
1263,JR Barry,Bahamas,8,2,128,174,6,21.33333333,73.56321839,21.75,29
1264,JR Hazlewood,Australia,6,4,22,14,2,11,157.1428571,2.333333333,7
1265,JR Hopes,Australia,7,2,105,97,5,21,108.2474227,13.85714286,19.4
1266,JR Philippe,Australia,10,0,138,126,10,13.8,109.5238095,12.6,12.6
1267,JRMVB Sanjaya,Sri Lanka,5,2,20,18,3,6.666666667,111.1111111,3.6,6
1268,JS Foster,England,5,2,37,32,3,12.33333333,115.625,6.4,10.66666667
1269,JS Henriksen,Denmark,2,0,10,12,2,5,83.33333333,6,6
1270,JS Jesani,Kenya,1,0,1,5,1,1,20,5,5
1271,JS Kundi,Kenya,4,0,9,22,4,2.25,40.90909091,5.5,5.5
1272,JS Malhotra,United States of America,12,1,185,166,11,16.81818182,111.4457831,13.83333333,15.09090909
1273,JS Patel,New Zealand,3,0,9,14,3,3,64.28571429,4.666666667,4.666666667
1274,JT Smuts,South Africa,13,0,174,165,13,13.38461538,105.4545455,12.69230769,12.69230769
1275,JW Chilia,Vanuatu,3,3,6,8,0,6,75,2.666666667,inf
1276,JW Dernbach,England/Italy,9,3,31,32,6,5.166666667,96.875,3.555555556,5.333333333
1277,JW Hastings,Australia,6,2,46,37,4,11.5,124.3243243,6.166666667,9.25
1278,JW Jenner,Jersey,27,6,714,575,21,34,124.173913,21.2962963,27.38095238
1279,JW Wilson,New Zealand,1,0,18,14,1,18,128.5714286,14,14
1280,JWM Dalrymple,England,3,0,60,57,3,20,105.2631579,19,19
1281,JWN Moses,Botswana,6,0,45,50,6,7.5,90,8.333333333,8.333333333
1282,Jahurul Islam,Bangladesh,3,0,31,23,3,10.33333333,134.7826087,7.666666667,7.666666667
1283,Jai Sinh,Switzerland,3,0,7,17,3,2.333333333,41.17647059,5.666666667,5.666666667
1284,Jaison Jerome,Malta,2,0,1,5,2,0.5,20,2.5,2.5
1285,Janak Prakash,Singapore,30,8,472,375,22,21.45454545,125.8666667,12.5,17.04545455
1286,Jandu Hamoud,Kuwait,1,0,2,4,1,2,50,4,4
1287,Jasdeep Singh,United States of America,1,0,31,23,1,31,134.7826087,23,23
1288,Jaspal Singh,Malta,15,3,263,235,12,21.91666667,111.9148936,15.66666667,19.58333333
1289,Jaspreet Singh,Italy,8,1,60,61,7,8.571428571,98.36065574,7.625,8.714285714
1290,Jaswinder Singh,Malta,1,0,0,1,1,0,0,1,1
1291,Jatinder Singh,Oman,42,6,991,836,36,27.52777778,118.5406699,19.9047619,23.22222222
1292,Javed Ahmadi,Afghanistan,2,0,6,7,2,3,85.71428571,3.5,3.5
1293,Javed Maroofkhail,Norway,2,0,5,13,2,2.5,38.46153846,6.5,6.5
1294,Jaweed Sadran,Austria,11,2,71,59,9,7.888888889,120.3389831,5.363636364,6.555555556
1295,Jay Odedra,Oman,1,1,6,6,0,6,100,6,inf
1296,Jitin Singh,Tanzania,12,0,191,158,12,15.91666667,120.8860759,13.16666667,13.16666667
1297,Jordan O'Brien,Finland,3,0,16,29,3,5.333333333,55.17241379,9.666666667,9.666666667
1298,Jubaid Ahamed,France,7,3,49,45,4,12.25,108.8888889,6.428571429,11.25
1299,Jun Hyunwoo,South Korea,3,0,66,70,3,22,94.28571429,23.33333333,23.33333333
1300,Junaid Aziz,Bahrain,12,2,167,159,10,16.7,105.0314465,13.25,15.9
1301,Junaid Khan,Portugal/Pakistan,4,2,17,12,2,8.5,141.6666667,3,6
1302,Junaid Mehmood,Norway,2,0,2,11,2,1,18.18181818,5.5,5.5
1303,Junaid Sheikh,Norway,3,0,19,20,3,6.333333333,95,6.666666667,6.666666667
1304,Junaid Siddique,Bangladesh/United Arab Emirates,20,5,216,163,15,14.4,132.5153374,8.15,10.86666667
1305,Junaid Siddiqui,Canada,7,2,51,45,5,10.2,113.3333333,6.428571429,9
1306,K Bhurtel,Nepal,16,4,573,435,12,47.75,131.7241379,27.1875,36.25
1307,K Birkenstock,Namibia,4,1,81,45,3,27,180,11.25,15
1308,K Cawte,Isle of Man,1,0,0,3,1,0,0,3,3
1309,K Christie,Hong Kong,3,2,14,18,1,14,77.77777778,6,18
1310,K Dasan,Bulgaria,3,0,8,13,3,2.666666667,61.53846154,4.333333333,4.333333333
1311,K Doriga,Papua New Guinea,16,3,192,162,13,14.76923077,118.5185185,10.125,12.46153846
1312,K Fletcher,Switzerland,2,0,3,8,2,1.5,37.5,4,4
1313,K Ghalley,Bhutan,4,2,32,41,2,16,78.04878049,10.25,20.5
1314,K Gilham,Czech Republic,3,3,15,13,0,15,115.3846154,4.333333333,inf
1315,K Gore,United States of America,1,0,12,10,1,12,120,10,10
1316,K Hinds,Bahamas,9,0,119,109,9,13.22222222,109.1743119,12.11111111,12.11111111
1317,K Irakoze,Rwanda,22,3,160,164,19,8.421052632,97.56097561,7.454545455,8.631578947
1318,K Joshi,Austria,1,0,14,22,1,14,63.63636364,22,22
1319,K Kadowaki-Fleming,Japan,11,0,468,298,11,42.54545455,157.0469799,27.09090909,27.09090909
1320,K Kubota,Japan,1,1,1,1,0,1,100,1,inf
1321,K Loday,Bhutan,1,1,0,1,0,0,0,1,inf
1322,K Mendon,Czech Republic,6,1,121,118,5,24.2,102.5423729,19.66666667,23.6
1323,K Mirpuri,Gibraltar,5,5,28,37,0,28,75.67567568,7.4,inf
1324,K Mishara,Sri Lanka,3,0,15,19,3,5,78.94736842,6.333333333,6.333333333
1325,K Modise,Botswana,3,0,16,16,3,5.333333333,100,5.333333333,5.333333333
1326,K Mothlhanka,Botswana,7,0,115,122,7,16.42857143,94.26229508,17.42857143,17.42857143
1327,K Motlanka,Botswana,18,1,450,395,17,26.47058824,113.9240506,21.94444444,23.23529412
1328,K Namchaikul,Thailand,4,0,2,12,4,0.5,16.66666667,3,3
1329,K Nassoro,Tanzania,29,9,573,490,20,28.65,116.9387755,16.89655172,24.5
1330,K Nestor,Gibraltar,20,2,185,218,18,10.27777778,84.86238532,10.9,12.11111111
1331,K Nima,Bhutan,1,1,2,3,0,2,66.66666667,3,inf
1332,K Pala,Papua New Guinea,2,1,41,30,1,41,136.6666667,15,30
1333,K Pierre,West Indies,4,2,17,23,2,8.5,73.91304348,5.75,11.5
1334,K Piet,Botswana,7,4,23,35,3,7.666666667,65.71428571,5,11.66666667
1335,K Rabada,South Africa,17,11,147,128,6,24.5,114.84375,7.529411765,21.33333333
1336,K Senamontree,Thailand,5,0,15,27,5,3,55.55555556,5.4,5.4
1337,K Sinclair,West Indies,2,1,3,9,1,3,33.33333333,4.5,9
1338,K Suttisan,Thailand,2,0,4,5,2,2,80,2.5,2.5
1339,K Vislapuu,Estonia,3,0,2,6,3,0.666666667,33.33333333,2,2
1340,K Waiswa,Uganda,31,3,359,371,28,12.82142857,96.76549865,11.96774194,13.25
1341,K Weeraratne,Sri Lanka,4,2,45,37,2,22.5,121.6216216,9.25,18.5
1342,KA Jadhav,Cameroon,1,0,2,14,1,2,14.28571429,14,14
1343,KA Jamieson,New Zealand,3,1,49,32,2,24.5,153.125,10.66666667,16
1344,KA Maharaj,South Africa,6,1,69,64,5,13.8,107.8125,10.66666667,12.8
1345,KA Pollard,West Indies,79,20,1499,1109,59,25.40677966,135.166817,14.03797468,18.79661017
1346,KA Vimlesh,Romania,2,0,46,46,2,23,100,23,23
1347,KAJ Roach,West Indies,1,1,3,2,0,3,150,2,inf
1348,KB Ahir,Panama,4,4,6,9,0,6,66.66666667,2.25,inf
1349,KC D'Souza,Bulgaria,23,7,516,323,16,32.25,159.752322,14.04347826,20.1875
1350,KC Ramamoorthy,Indonesia,6,0,46,68,6,7.666666667,67.64705882,11.33333333,11.33333333
1351,KC Sangakkara,Sri Lanka,49,9,1343,1105,40,33.575,121.5384615,22.55102041,27.625
1352,KD Karthik,India/ICC World XI,46,21,675,472,25,27,143.0084746,10.26086957,18.88
