,Bowler,Bowler Team(s),Matches Bowled In,Total Wickets,Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
94,CJ Jordan,Punjab Kings/Kings XI Punjab/Mumbai Indians/Royal Challengers Bangalore/Sunrisers Hyderabad/Chennai Super Kings,32,28,626,982,35.07142857,9.412140575,22.35714286,19.5625,0.875
95,CJ McKay,Mumbai Indians,2,1,42,60,60,8.571428571,42,21,0.5
96,CK Kapugedera,Chennai Super Kings,3,0,17,49,0,17.29411765,0,5.666666667,0
97,CK Langeveldt,Royal Challengers Bangalore/Kolkata Knight Riders,7,13,156,187,14.38461538,7.192307692,12,22.28571429,1.857142857
98,CL White,Royal Challengers Bangalore/Deccan Chargers/Sunrisers Hyderabad,6,1,42,86,86,12.28571429,42,7,0.166666667
99,CR Brathwaite,Delhi Daredevils/Kolkata Knight Riders/Sunrisers Hyderabad,16,13,254,379,29.15384615,8.952755906,19.53846154,15.875,0.8125
100,CR Woakes,Kolkata Knight Riders/Royal Challengers Bangalore/Delhi Capitals,21,29,440,658,22.68965517,8.972727273,15.17241379,20.95238095,1.380952381
101,CRD Fernando,Mumbai Indians,10,16,234,298,18.625,7.641025641,14.625,23.4,1.6
102,CV Varun,Kolkata Knight Riders/Kings XI Punjab,55,59,1264,1572,26.6440678,7.462025316,21.42372881,22.98181818,1.072727273
103,D Brevis,Mumbai Indians,1,1,3,8,8,16,3,3,1
104,D Jansen,Mumbai Indians,1,1,24,53,53,13.25,24,24,1
105,D Kalyankrishna,Deccan Chargers,3,2,48,87,43.5,10.875,24,16,0.666666667
106,D Pretorius,Chennai Super Kings,7,6,150,238,39.66666667,9.52,25,21.42857143,0.857142857
107,D Salunkhe,Rajasthan Royals,5,1,47,78,78,9.957446809,47,9.4,0.2
108,D Wiese,Kolkata Knight Riders/Royal Challengers Bangalore,14,15,272,401,26.73333333,8.845588235,18.13333333,19.42857143,1.071428571
